Lonce,ADAPTING GENERAL PURPOSE INTERFACES TO SYNTHESIS ENGINES USING UNSUPERVISED DIMENSIONALITY REDUCTION TECHNIQUES AND INVERSE MAPPING FROM FEATURES TO PARAMETERS,"['Fasciani, Stefano', ' Wyse, Lonce']"
Kun-Ting,SURRSOUND,"['Tsai, Kun-Ting', ' Liu, Che-Wei', ' Tseng, Yu-Chung']"
Che-Wei,SURRSOUND,"['Tsai, Kun-Ting', ' Liu, Che-Wei', ' Tseng, Yu-Chung']"
Yu-Chung,SURRSOUND,"['Tsai, Kun-Ting', ' Liu, Che-Wei', ' Tseng, Yu-Chung']"
Kiyomitsu,ITERATIVE SYNAESTHETIC COMPOSING WITH MULTIMEDIA SIGNALS,"['Forbes, Angus', ' Odai, Kiyomitsu']"
Diemo,PRECISE PITCH CONTROL IN REAL TIME CORPUS-BASED CONCATENATIVE SYNTHESIS,"['Einbond, Aaron', ' Trapani, Christopher', ' Schwarz, Diemo']"
Diemo,NAVIGATING VARIATION: COMPOSING FOR AUDIO MOSAICING,"['Schwarz, Diemo', ' Hackbarth, Benjamin']"
PerMagnus,Multi-dimensional spatial sound design for 'On the String',"['Lindborg, PerMagnus', ' Beetuan Koh, Joyce']"
Mingfei,"CYCLIC-N, a real-time mobile multi-touch application for composition, improvisation and education","['Gao, Mingfei Mike']"
Meinard,A Multi-perspective user interface for music signal analysis,"['M\xc3\xbcller, Meinard', ' Konz, Verena', ' Jiang, Nanzhu', ' Zuo, Zhe']"
Nanzhu,A Multi-perspective user interface for music signal analysis,"['M\xc3\xbcller, Meinard', ' Konz, Verena', ' Jiang, Nanzhu', ' Zuo, Zhe']"
Masathoshi,Constructing Music Applications for Smartphones,"['Hamanaka, Masathoshi', ' Yoshiya, Mikito', ' Yoshida, Shyuhei']"
Mikito,Constructing Music Applications for Smartphones,"['Hamanaka, Masathoshi', ' Yoshiya, Mikito', ' Yoshida, Shyuhei']"
Shyuhei,Constructing Music Applications for Smartphones,"['Hamanaka, Masathoshi', ' Yoshiya, Mikito', ' Yoshida, Shyuhei']"
Diemo,Sound Level of Detail in Interactive Audiographic 3D Scenes,"['Schwarz, Diemo', ' Cahen, Roland', ' Brument, Fran\xc3\xa7ois', ' Ding, Hui', ' Jacquemin, Christian']"
Lonce,Representing and Automating Rhythmic Pattern Transformations,"['Wyse, Lonce', ' Tan, Keith', ' Kellock, Peter']"
Yoshinari,Design and Implementation of a Piano Practice Support System using a Real-Time Fingering Recognition Technique,"['Takegawa, Yoshinari', ' Tsukamoto, Masahiko', ' Terada, Tsutomu']"
Lonce,Modeling Speed Doubling in Carnatic Music,"['Subramanian, Srikumar K.', ' Wyse, Lonce', ' McGee, Kevin']"
Sonmez,Gesture Analysis of radiodrum data,"['Ness, Steven R.', ' Methabi, Sonmez', ' Odowichuk, Gabrielle', ' Tzanetakis, George', ' Schloss, Andrew W.']"
Tychonas,Tactile Feedback Tool: approaching the foot pedal problem in live electronic music,"['Michailidis, Tychonas', ' Berweck, Sebastian']"
Seunghung,Composition With Path : Musical Sonification Of Geo- Referenced Data With Online Map Interface,"['Park, Si Hwa', ' Kim, Seunghung', ' Lee, Samuel']"
Diemo,Spatializing Timbre With Corpus-Based Concatenative Synthesis,"['Einbond, Aaron', ' Schwarz, Diemo']"
Diemo,A Modular Sound Descriptor Analysis Framework For Relaxed-Real-Time Applications,"['Schwarz, Diemo', ' Schnell, Norbert']"
Diemo,"Grainstick: A Collaborative, Interactive Sound Installation","['Leslie, Grace', ' Schwarz, Diemo', ' Warusfel, Olivier', ' Bevilacqua, Frederic', ' Zambolin, Bruno', ' Jodlowski, Pierre', ' Schnell, Norbert']"
MR,Toward Understanding Human-Computer Interaction In Composing The Instrument,"['Fiebrink, Rebecca', ' Trueman, Daniel', ' Britt, Cameron', ' Nagai, Michelle', ' Kaczmarek, Konrad', ' Early, Michael', ' Daniel, MR', ' Hege, Anne', ' Cook, Perry']"
Talmai,"Wireless Sensor Networks And Computer Music, Dance And Installation Implementations","['Helmuth, Mara', ' Hyun Jun, Jung', ' Oliveira, Talmai', ' Mostafa, Ahmad', ' Shiota, Kazuaki', ' Mishra, Amitabh', ' Agrawal, Dharma']"
López,Technological Advantage For The Sound Arts: Border Politics,"['Ignacio, Jos\xc3\xa9', ' Ramirez-Gast\xc3\xb3n, L\xc3\xb3pez']"
Damián,Anchoring In Ubiquitous Musical Activities,"['Keller, Dami\xc3\xa1n', ' Barreiro, Daniel Luis', ' Queiroz, Marcelo', ' Pimenta, Marcelo Soares']"
Juan-Pablo,Automatically Generating Syntactically Correct Audio Effects In Max,"['Glennon, Aron', ' Rowe, Robert', ' Bello, Juan-Pablo']"
Chryssie,An Unconference Unsession On Computer Music Performance,"['Baguyos, Jeremy C', ' Nanou, Chryssie', ' Wetzel, David', ' Boyle, Mcgregor']"
Mcgregor,An Unconference Unsession On Computer Music Performance,"['Baguyos, Jeremy C', ' Nanou, Chryssie', ' Wetzel, David', ' Boyle, Mcgregor']"
Unknown,Neuroacoustics: Intergrating The Strengths Of Computer Technology And Human Biology Through Music,"['Unknown, Unknown']"
Julien-Robert,Interactive Video In Performance,"['Martyne, Krista', ' Salvail, Julien-Robert L.']"
Parl,Radical Computer Music,"['Vester, Parl K. B.']"
Naotoshi,Founding Of The Asia Computer Music Project,"['Osaka, Naotoshi', ' Shin, Seongah', ' Wyse, Lonce']"
Seongah,Founding Of The Asia Computer Music Project,"['Osaka, Naotoshi', ' Shin, Seongah', ' Wyse, Lonce']"
Lonce,Founding Of The Asia Computer Music Project,"['Osaka, Naotoshi', ' Shin, Seongah', ' Wyse, Lonce']"
Chikashi,Peacock: A Non-Haptic 3D Performance Interface,"['Miyama, Chikashi']"
Tertuliano,Plane Tessellation With Musical Scale Tiles And Bidimensional Automatic Composition,"['Cicconet, Marcelo', ' Franco, Tertuliano', ' Carvalho, Paulo Cezar']"
Hsin-Ming,An Algorithmic Composition Method Of Monophonic Pitches Based On The Frequency Relationship Of Melody Motion,"['Lin, Hsin-Ming', ' Huang, Chih-Fang']"
Chih-Fang,An Algorithmic Composition Method Of Monophonic Pitches Based On The Frequency Relationship Of Melody Motion,"['Lin, Hsin-Ming', ' Huang, Chih-Fang']"
Meason,The Machine Orchestra,"['Kapur, Ajay', ' Darling, Michael', ' Wiley, Meason', ' Vallis, Owen', ' Hochenbaum, Jordan', ' Murphy, Jim', ' Diakopoulos, Dimitri', ' Burgin, Carl', ' Yamin, Tyler']"
Naotoshi,An Electronic Timbre Dictionary and 3D Timbre Display,"['Osaka, Naotoshi', ' Saito, Yoshinori', ' Ishitsuka, Shinya', ' Yoshioka, Yasuhiro']"
Diemo,Scalability in Content-Based Navigation of Sound Databases,"['Schwarz, Diemo', ' Schnell, Norbert', ' Gulluni, Sebastien']"
