Gender1F,Gender1M,Place,Year,NumberOfAuthors,Conference,Gender2F,Gender2M,Gender3F,Gender3M,Gender4F,Gender4M,Gender5F,Gender5M,Gender6F,Gender6M,Gender7F,Gender7M,Gender8F,Gender8M,Gender9F,Gender9M,Gender10F,Gender10M,Gender11F,Gender11M,Gender12F,Gender12M,Gender13F,Gender13M,Gender14F,Gender14M,Gender15F,Gender15M,Gender16F,Gender16M,Gender17F,Gender17M,Gender1None,Gender2None,Gender3None,Gender4None,Gender5None,Gender6None,Gender7None,Gender8None,Gender9None,Gender10None,Gender11None,Gender12None,Gender13None,Gender14None,Gender15None,Gender16None,Gender17None,AllAuthors,Title
0,1,Copenhagen  Denmark,2017,2,NIME,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Fabio Morreale' 'Andrew McPherson'],Design for Longevity: Ongoing Use of Instruments from NIME 2010-14
0,1,Copenhagen  Denmark,2017,2,NIME,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Samuel Delalez' ""Christophe d'Alessandro""]",Vokinesis: Syllabic Control Points for Performative Singing Synthesis
0,1,Copenhagen  Denmark,2017,3,NIME,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Gareth Young' 'Dave Murphy' 'Jeffrey Weeter'],A Qualitative Analysis of Haptic Feedback in Music Focused Exercises
0,1,Copenhagen  Denmark,2017,4,NIME,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Jingyin He' 'Jim Murphy' 'Dale A. Carnegie' 'Ajay Kapur'],Towards Related-Dedicated Input Devices for Parametrically Rich Mechatronic Musical Instruments
1,0,Copenhagen  Denmark,2017,3,NIME,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Asha Blatherwick' 'Luke Woodbury' 'Tom Davis'],Design Considerations for Instruments for Users with Complex Needs in SEN Settings
0,1,Copenhagen  Denmark,2017,2,NIME,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Abram Hindle' 'Daryl Posnett'],Performance with an Electronically Excited Didgeridoo
0,1,Copenhagen  Denmark,2017,3,NIME,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Michael Zbyszyński' 'Mick Grierson' 'Matthew Yee-King'],Rapid Prototyping of New Instruments with CodeCircle
0,1,Copenhagen  Denmark,2017,4,NIME,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Federico Visi' 'Baptiste Caramiaux' 'Michael Mcloughlin' 'Eduardo Miranda'],A Knowledge-based   Data-driven Method for Action-sound Mapping
0,1,Copenhagen  Denmark,2017,2,NIME,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Spencer Salazar' 'Mark Cerqueira'],ChuckPad: Social Coding for Computer Music
0,1,Copenhagen  Denmark,2017,4,NIME,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Axel Berndt' 'Simon Waloschek' 'Aristotelis Hadjakos' 'Alexander Leemhuis'],AmbiDice: An Ambient Music Interface for Tabletop Role-Playing Games
0,1,Copenhagen  Denmark,2017,5,NIME,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Sam Ferguson' 'Anthony Rowe' 'Oliver Bown' 'Liam Birtles' 'Chris Bennewith'],Sound Design for a System of 1000 Distributed Independent Audio-Visual Devices
