Gender1Female,Place,Year,NumberOfAuthors,Conference,,Gender2,,Gender3,,Gender4,,Gender5,,Gender6,,Gender7,,Gender8,,Gender9,,Gender10,,Gender11,,Gender12,,Gender13,,Gender14,,Gender15,,Gender16,,Gender17,Gender1None,Gender2None,Gender3None,Gender4None,Gender5None,Gender6None,Gender7None,Gender8None,Gender9None,Gender10None,Gender11None,Gender12None,Gender13None,Gender14None,Gender15None,Gender16None,Gender17None,AllAuthors,FirstName1stAuthor,Title
male,USA,2015,4,ICMC,,female,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,"Forsyth, Jonathan P.; Bittner, Rachel M.; Musick, Michael; Bello, Juan P.",Jonathan,Improving and Adapting Finite State Transducer Methods for Musical Accompaniment
female,USA,2015,2,ICMC,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"Nakamura, Eita; Sagayama, Shigeki",Eita,Automatic Piano Reduction from Ensemble Scores Based on Merged-Output Hidden Markov Model
female,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Quick, Donya",Donya,Composing with Kulitta
male,USA,2015,2,ICMC,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"Otondo, Felipe; Torres, Rodrigo",Felipe,Wearable Sound System for Dance and Music
female,USA,2015,3,ICMC,,male,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Hope, Cat; Wyatt, Aaron; Vickery, Lindsay",Cat,The Decibel ScorePlayer: New Developments and Improved Functionality
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Cayko, Ethan",Ethan,Network Gyre - Exercising the Network's Rhythmic Potential
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Timmermans, Hans",Hans,Sound Spatialisation from a Composerâ€°_«_„s Perspective
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Werner, Kurt James",Kurt,The XQIFFT: Increasing the Accuracy of Quadratic Interpolation of Spectral Peaks via Exponential Magnitude Spectrum Weighting
male,USA,2015,3,ICMC,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Kim, Seunghun; Wakefield, Graham; Nam, Juhan",Seunghun,Augmenting Room Acoustics and System Interaction for Intentional Control of Audio Feedback
male,USA,2015,3,ICMC,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Clift, Paul; Mamou-Mani, Adrien; Causs_œÂ©, Ren_œÂ©",Paul,Extending Brass & Woodwind Instruments with Acoustic-Aggregate-Synthesis
male,USA,2015,3,ICMC,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"MacCallum, John; Goodheart, Matthew; Freed, Adrian",John,Antony: A Reimagining
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Gresham-Lancaster, Scot",Scot,"Notes on â€°_«_ŸCulture of Fireâ€°_«Ñœ for Analog Neural Network Synthesizer, Geiger Muller Counters and Computer"
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Garrett, Richard",Richard,Audio Spray Gun 0.8 â€°_«_¢ the Generation of Large Sound-Groups and Their Use in Three-Dimensional Spatialisation
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Buongiorno Nardelli, Marco",Marco,materialssoundmusic: a Computer-Aided Data-Driven Composition Environment for the Sonification and Dramatization of Scientific Data Streams
female,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Vickery, Lindsay",Lindsay,An Approach to the Generation of Real-Time Notation via Audio Analysis: The Semantics of Redaction
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Alsop, Roger",Roger,"In and Out, Over and Under: An Interactive Audio-Visual Installation Responding to Percy Graingerâ€°_«_„s Free Music and the Grainger Museum"
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Carpentier, Thibaut",Thibaut,ToscA: an OSC Communication Plugin for Object-Oriented Spatialization Authoring
male,USA,2015,2,ICMC,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"Chau, Chuck-jee; Horner, Andrew",Chuck-jee,The Effects of Pitch and Dynamics on the Emotional Characteristics of Piano Sounds
male,USA,2015,3,ICMC,,female,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Santolucito, Mark; Quick, Donya; Hudak, Paul",Mark,Media Modules: Intermedia Systems in a Pure Functional Paradigm
male,USA,2015,2,ICMC,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"Taylor, Benjamin; Allison, Jesse",Benjamin,"Gesture Capture, Processing, and Asynchronous Playback within Web Audio Instruments"
male,USA,2015,3,ICMC,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Zareei, Mo H.; Kapur, Ajay; Carnegie, Dale A.",Mo,Rasping Music: Remodeling Early Minimalist Music through Mechatronic Sound-Sculpture
male,USA,2015,3,ICMC,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Hu, Hanlin; Park, Brett; Gerhard, David",Hanlin,Mapping Tone Helixes to Cylindrical Lattices Using Chiral Angles
female,USA,2015,4,ICMC,,None,,male,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,,,,,,,,,,,,,,"Qin, Yi; Fang, Da-Lei; Xu, Zhi-Bo; Da, Yan",Yi,Mirror Mind: New Possibilities for Overall Interactive Design in New Music-Media Theatre
male,USA,2015,2,ICMC,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"de Quay, Yago; Beira, Jo_œ_ˆo",Yago,Brain-Computer Interfaces and Their Application as an Audiovisual Instrument
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Fay, Simon",Simon,â€°_«_ŸThere is pleasure...â€°_«Ñœ: An Improvisation Using the AAIM Performance System
female,USA,2015,3,ICMC,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"Francesca Battista, Alba; Maximiliano Mollo, Carlos; Monopoli, Nicola",Alba,RCCM Canons: Not Only a Problem of Cage
male,USA,2015,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Waschka II, Rodney",Rodney,Minimal Fitness Functions in Genetic Algorithms for the Composition of Piano Music
female,USA,2015,2,ICMC,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"Hsu, Aurie; Kemper, Steven",Aurie,Kinesonic Composition as Choreographed Sound: Composing Gesture in Sensor-Based Music
female,USA,2015,2,ICMC,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,"Graham-Knight, Kimberlee; Tzanetakis, George",Kimberlee,Adaptive Music Technology: History and Future Perspectives
male,USA,2015,9,ICMC,,male,,male,,female,,male,,female,,male,,male,,male,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,"Hattwick, Ian; Franco, Ivan; Giordano, Marcello; Egloff, Deborah; Wanderley, Marcelo M.; Lamontagne, Valerie; Arawjo, Ian; Salter, Chris; Martinucci, Maurizio",Ian,Composition Techniques for the Ilinx Vibrotactile Garment
