AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"['Yoon, Ji Won', ' Yeo, Woon Seung']",Won,male,South Korea,2018,2,A Study on the Audiovisual Art of Nam June Paik in the Context of Multimodality and Synesthesia,ICMC,Seung,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.83,,,,,,,,,,,,,,,,
"['Frid, Emma']",Emma,female,South Korea,2018,1,"Accessible Digital Musical Instruments - a Survey of Inclusive Instruments Presented at the NIME, SMC and ICMC Conferences",ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,
"['Lough, Alex', ' Micchelli, Mark', ' Kimura, Mari']",Alex,male,South Korea,2018,3,Gestural Envelopes: Aesthetic Considerations for Mapping Physical Gestures Using Wireless Motion Sensors,ICMC,Mark,male,Mari,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.99,0.97,,,,,,,,,,,,,,,
"['Koh, Eunjeong Stella', ' Yadegari, Shahrokh']",Eunjeong,female,South Korea,2018,2,Mugeetion: Musical Interface Using Facial Gesture and Emotion,ICMC,Shahrokh,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,
"['Caers, Vincent']",Vincent,male,South Korea,2018,1,LSL.LPSR: Applying Contemporary Compositional Processes Into an Electroacoustic Improvisation Tool,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Estibeiro, Marc']",Marc,male,South Korea,2018,1,Displaced Light: a Composition for Six Instruments and Electronics Mediated Through the Application of Microsound,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Stine, Eli', ' Davis, Kevin']",Eli,female,South Korea,2018,2,The Murmurator: a Flocking Simulation-driven Multi-channel Software Instrument for Collaborative Improvisation,ICMC,Kevin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.99,,,,,,,,,,,,,,,,
"['Su, David', ' Picard, Rosalind', ' Liu, Yan']",David,male,South Korea,2018,3,AMAI: Adaptive Music for Affect Improvement,ICMC,Rosalind,female,Yan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.75,,,,,,,,,,,,,,,
"['Veinberg, Anne', ' Noriega, Felipe Ignacio']",Anne,female,South Korea,2018,2,Coding With a Piano: the First Phase of the Codeklavier's Development,ICMC,Ignacio,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,,,,,,,,,,,,,,,,
"['Fasciani, Stefano']",Stefano,male,South Korea,2018,1,Spectral Granular Synthesis,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Dannenberg, Roger B.']",Roger,male,South Korea,2018,1,UGG: a Unit Generator Generator,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Choi, Hongchan']",Hongchan,male,South Korea,2018,1,Audioworklet: the Future of Web Audio,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,
"['Rhys, Paul']",Paul,male,China,2017,1,Granular Synthesis as Fractal Micropolyphony,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Heim, Brian', ' Quick, Donya']",Brian,male,China,2017,2,Recursive Generation of Rhythmic Structures with PTGGs,ICMC,Donya,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.97,,,,,,,,,,,,,,,,
"['Ince, Can', ' Toka, Mert']",Can,male,China,2017,2,Siren: Hierarchical Composition Interface,ICMC,Mert,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.97,,,,,,,,,,,,,,,,
"['Hong, Yu', ' Chau, Chuck-Jee', ' Horner, Andrew']",Yu,male,China,2017,3,Mode and Register Categorizations for Predicting Mood in Classical Piano Music2,ICMC,Chuck-Jee,None,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.0,0.99,,,,,,,,,,,,,,,
