AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"['Romain Michon', ' Yann Orlarey', ' Stéphane Letz and Dominique Fober ']",Romain,male,Spain,2019,3,S1.3.  Real Time Audio Digital Signal Processing with Faust and the Teensy,ICMC,Yann,male,Stéphane,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.0,,,,,,,,,,,,,,,
"['Kjetil Falkenberg Hansen', ' Martin Ljungdahl-Eriksson and Ricardo Atienza ']",Kjetil,male,Spain,2019,2,S1.4.  Sound Design through Large Audience Interaction,ICMC,Martin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
['Fiona Keenan and Sandra Pauletto '],Fiona,female,Spain,2019,1,S1.5.  Evaluating a Continuous Sonic Interaction: Comparing a Performable Acoustic and Digital Everyday Sound,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,
"['Leonardo Fierro', ' Jussi Rämö and Vesa Välimäki ']",Leonardo,male,Spain,2019,2,Adaptive Loudness Compensation in Music Listening ,ICMC,Jussi,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.97,,,,,,,,,,,,,,,,
"['Joonas Tuovinen', ' Jamin Hu and Vesa Välimäki ']",Joonas,male,Spain,2019,2,S2.2.  Toward Automatic Tuning of the Piano,ICMC,Jamin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.82,,,,,,,,,,,,,,,,
"['Silvin Willemsen', ' Nikolaj Andersson', ' Stefania Serafin and Stefan Bilbao ']",Silvin,male,Spain,2019,3,S2.3.  Real-time Control of Large-scale Modular Physical Models using the Sensel Morph,ICMC,Nikolaj,male,Stefania,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.99,0.99,,,,,,,,,,,,,,,
['Prithvi Kantan and Sofia Dahl '],Prithvi,male,Spain,2019,1,S2.4.  An Interactive Music Synthesizer for Gait Training in Neurorehabilitation,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,
"['Claudio Panariello', ' Mattias Sköld', ' Emma Frid and Roberto Bresin ']",Claudio,male,Spain,2019,3,S2.5.  From Vocal Sketching to Sound Models by Means of a Sound-Based Musical Transcription System,ICMC,Mattias,male,Emma,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.93,,,,,,,,,,,,,,,
['Olivier Lartillot and Didier Grandjean '],Olivier,male,Spain,2019,1,S2.6.  Tempo and Metrical Analysis by Tracking Multiple Metrical Levels Using Autocorrelation,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Brett Dalton', ' David Johnson and George Tzanetakis']",Brett,male,Spain,2019,2,DAW-Integrated Beat Tracking for Music Production,ICMC,David,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
['Stefano Kalonaris'],Stefano,male,Spain,2019,1,P1.2. Interaction-based Analysis of Freely Improvised Music,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Alexandros Kontogeorgakopoulos', ' George Sioros and Odysseas Klissouras']",Alexandros,male,Spain,2019,2,P1.3. Mechanical Entanglement: A Collaborative Haptic-Music Performance,ICMC,George,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
"['Patrick Neff', ' Jan Schacher and Daniel Bisig']",Patrick,male,Spain,2019,2,P1.4. State Dependency - Audiovisual interaction through brain states,ICMC,Jan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.95,,,,,,,,,,,,,,,,
