,AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
41,Frank Zalkow; Stephan Brand; Bejamin Graf,Frank,male,Netherlands,2016,3,206 Musical Style Modification as an Optimization Problem,ICMC,Stephan,male,Bejamin,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,None,,,,,,,,,,,,,,
42,Andreas Henrici; Martin Neukom,Andreas,male,Netherlands,2016,2,Synchronization of van der Pol Oscillators with Delayed Coupling,ICMC,Martin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
43,Michael Clarke; Frédéric Dufeu; Peter Manning,Michael,male,Netherlands,2016,3,218 Using Software Emulation to Explore the Creative and Technical Processes in Computer Music: John Chowning’s Stria; a case study from the TaCEM project,ICMC,Frédéric,male,Peter,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,1.0,,,,,,,,,,,,,,
44,Daniele Ghisi; Mattia Bergomi,Daniele,male,Netherlands,2016,2,224 Concatenative Synthesis via Chord-Based Segmentation For “An Experiment with Time”,ICMC,Mattia,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.99,,,,,,,,,,,,,,,
45,Muhammad Hafiz Wan Rosli; Curtis Roads,Muhammad,male,Netherlands,2016,2,228 Spatiotemporal Granulation,ICMC,Curtis,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
46,Tae Hong Park; Sumanth Srinivasan,Tae,male,Netherlands,2016,2,234 The Sound Analysis Toolbox (SATB),ICMC,Sumanth,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,1.0,,,,,,,,,,,,,,,
47,Jaime Reis,Jaime,male,Netherlands,2016,1,241 short overview of parametric loudspeakers array technology and its implications in spatialization in electronic music,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,
48,Chris Donahue; Tom Erbe; Miller Puckette,Chris,male,Netherlands,2016,3,249 Extended Convolution Techniques for Cross-Synthesis,ICMC,Tom,male,Miller,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,1.0,0.84,,,,,,,,,,,,,,
49,Curtis Roads; Andres Cabrera;  JoAnn Kuchera-Morin; Clarence Barlow,Curtis,male,Netherlands,2016,4,255 CREATE Studio Report 2016,ICMC,Andres,male,JoAnn,female,Clarence,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.99,0.95,,,,,,,,,,,,,
50,Andreas Weixler; Se-Lien Chuang,Andreas,male,Netherlands,2016,2,258 Computer Music Studio and Sonic Lab at Anton Bruckner University Studio Report,ICMC,Se-Lien,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,,,,,,,,,,,,,,,
51,Hannah Bosma,Hannah,female,Netherlands,2016,1,270 Electroacoustic Music as Born Digital Heritage,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
52,Serge Lemouton,Serge,male,Netherlands,2016,1,275 COMPUTER MUSIC INTERPRETATION IN PRACTICE,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
53,Jeremy C. Baguyos,Jeremy,male,Netherlands,2016,1,280 New Roles for Computer Musicians in S.T.E.A.M.,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,
54,Kevin Schlei; Rebecca Yoshikane,Kevin,male,Netherlands,2016,2,285 The Things of Shapes: Waveform Generation using 3D Vertex Data,ICMC,Rebecca,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
55,Felipe Otondo; Rodrigo Torres,Felipe,male,Netherlands,2016,2,290 Sound vest for dance performance,ICMC,Rodrigo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
56,Hanlin Hu; David Gerhard,Hanlin,male,Netherlands,2016,2,294 WebHexIso: A Customizable Web-based Hexagonal Isomorphic Musical Keyboard Interface,ICMC,David,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
57,Daniel McNamara; Ajay Kapur ,Daniel,male,Netherlands,2016,2,298 Roulette: A Customized Circular Sequencer for Generative Music,ICMC,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,
58,Jan-Torsten Milde,Jan-Torsten,None,Netherlands,2016,1,302 MusicBox: creating a musical space with mobile devices,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,
59,David Kim-Boyle,David,male,Netherlands,2016,1,306 Frequency Domain Spatial Mapping with the LEAP Motion Controller,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
60,Chikashi Miyama; Götz Dipper; Ludger Brummer,Chikashi,None,Netherlands,2016,3,312 Zirkonium 3.1 - a toolkit for spatial composition and performance,ICMC,Götz,male,Ludger,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,
61,Natasha Barrett,Natasha,female,Netherlands,2016,1,317 A 3-D Future for Loudspeaker Orchestras Emulated in Higher-Order Ambisonics,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
62,Martin Ritter; Alyssa Aska,Martin,male,Netherlands,2016,2,322 Extending the piano through spatial transformation of motion capture data,ICMC,Alyssa,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
63,Alyssa Aska; Martin Ritter,Alyssa,female,Netherlands,2016,2,327 Approaches to Real Time Ambisonic Spatialization and Sound Diffusion using Motion Capture,ICMC,Martin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
64,Benjamin D. Smith Robin Cox,Benjamin,male,Netherlands,2016,1,333 Big Tent: A Portable Immersive Intermedia Environment,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
65,Rob Hamilton; Chris Platz,Rob,male,Netherlands,2016,2,337 Gesture-based Collaborative Virtual Reality Performance in Carillon,ICMC,Chris,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.93,,,,,,,,,,,,,,,
66,Zachary Berkowitz; Edgar Berdahl; Stephen David Beck,Zachary,male,Netherlands,2016,3,341 Emphasizing Form in Virtual Reality-Based Music Performance,ICMC,Edgar,male,Stephen,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
67,Corentin Louboutin; Frederic Bimbot,Corentin,male,Netherlands,2016,2,345 Description of Chord Progressions by Minimal Transport Graphs Using the System & Contrast Model,ICMC,Frederic,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
68,Tom Arjannikov; John Z. Zhang,Tom,male,Netherlands,2016,2,351 Do Structured Dichotomies Help in Music Genre Classification?,ICMC,John,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,
69,Hsin-Ming Lin; Shlomo Dubnov,Hsin-Ming,None,Netherlands,2016,2,357 Algorithmic Composition Parameter as Intercultural and Cross-level MIR Feature: The Susceptibility of Melodic Pitch Contour,ICMC,Shlomo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,,,,,,,,,,,,,,,
70,Peter Knees; Kristina Andersen; Sergi Jorda; Michael Hlatky; Andres Bucci; Wulf Gaebele; Roman Kaurson,Peter,male,Netherlands,2016,7,363 The GiantSteps Project: A Second-Year Intermediate Report,ICMC,Kristina,female,Sergi,male,Michael,male,Andres,male,Wulf,male,Roman,male,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.99,1.0,1.0,1.0,1.0,,,,,,,,,,
71,Adrien Ycart; Florent Jacquemard; Jean Bresson; Sławek Staworko,Adrien,male,Netherlands,2016,4,369 A supervised approach for rhythm transcription based on tree series enumeration,ICMC,Florent,male,Jean,female,Sławek,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.0,0.53,1.0,,,,,,,,,,,,,
72,Jean-Michael Celerier; Myriam Desainte-Catherine; Jean-Michel Couturier,Jean-Michael,None,Netherlands,2016,3,377 Graphical Temporal Structured Programming for Interactive Music,ICMC,Myriam,female,Jean-Michel,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,0.96,,,,,,,,,,,,,,
73,David M. Hofmann,David,male,Netherlands,2016,1,381 Introducing a Context-based Model and Language for Representation; Transformation;  Visualization; Analysis and Generation of Music,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
74,Daniele Ghisi; Andrea Agostini; Eric Maestri,Daniele,male,Netherlands,2016,3,589 Recreating Gérard Grisey’s Vortex Temporum with cage,ICMC,Andrea,female,Eric,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.79,1.0,,,,,,,,,,,,,,
75,Lauren Hayes,Lauren,female,Netherlands,2016,1,388 Sound; Electronics and Music: an evaluation of early embodied education,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
76,Miriam Akkermann,Miriam,female,Netherlands,2016,1,394 Performing Computer Network Music. Well-known challenges and new possibilities.,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
